OBS_STATUS;TERRITORIO;RESITUR;TEMPORAL;INDICATOR;OBS_VALUE;FREQ
A;ES612;55557;2018;VIAJEROS;571.6960049;A
A;ES612;55557;2019;VIAJEROS;1144.222607131;A
A;ES612;55557;2020;VIAJEROS;609.976695313;A
A;ES612;55558;2014;VIAJEROS;2670.6913615;A
A;ES612;55558;2015;VIAJEROS;2124.9112626;A
A;ES612;55558;2016;VIAJEROS;2593.349288;A
A;ES612;55558;2017;VIAJEROS;2549.8621308;A
A;ES612;55558;2018;VIAJEROS;2884.8120283;A
A;ES612;55558;2019;VIAJEROS;3406.33234019;A
A;ES612;55558;2020;VIAJEROS;2031.038601625;A
A;ES612;55559;2014;VIAJEROS;185.33798455;A
A;ES612;55559;2015;VIAJEROS;244.67024573;A
A;ES612;55559;2016;VIAJEROS;294.32521275;A
A;ES612;55559;2017;VIAJEROS;160.5204174;A
A;ES612;55559;2018;VIAJEROS;306.25433117;A
A;ES612;55559;2019;VIAJEROS;245.347090697;A
A;ES612;55559;2020;VIAJEROS;139.434131406;A
A;ES612;55544;2014;VIAJEROS;715.23937317;A
A;ES612;55544;2015;VIAJEROS;793.10385262;A
A;ES612;55544;2016;VIAJEROS;743.98148345;A
A;ES612;55544;2017;VIAJEROS;846.17953586;A
A;ES612;55544;2018;VIAJEROS;1035.6912631;A
A;ES612;55544;2019;VIAJEROS;860.123047559;A
A;ES612;55544;2020;VIAJEROS;378.38852388;A
A;ES612;55561;2014;VIAJEROS;152.92380353;A
A;ES612;55561;2015;VIAJEROS;480.43842783;A
A;ES612;55561;2016;VIAJEROS;746.73794522;A
A;ES612;55561;2017;VIAJEROS;815.3248549;A
A;ES612;55561;2018;VIAJEROS;900.5650804;A
A;ES612;55561;2019;VIAJEROS;311.788501648;A
A;ES612;55561;2020;VIAJEROS;352.834834494;A
A;ES612;55562;2014;VIAJEROS;110.82004142;A
A;ES612;55562;2015;VIAJEROS;202.5403182;A
A;ES612;55562;2016;VIAJEROS;71.663628352;A
A;ES612;55562;2017;VIAJEROS;112.21683366;A
A;ES612;55562;2018;VIAJEROS;83.749719468;A
A;ES612;55562;2019;VIAJEROS;200.528470905;A
A;ES612;55562;2020;VIAJEROS;69.599518854;A
A;ES613;55564;2014;VIAJEROS;16870.706884902;A
A;ES613;55564;2015;VIAJEROS;22070.626083042;A
A;ES613;55564;2016;VIAJEROS;27482.407577508;A
A;ES613;55564;2017;VIAJEROS;27799.913100576;A
A;ES613;55564;2018;VIAJEROS;29282.820489006;A
A;ES613;55564;2019;VIAJEROS;33240.268119486;A
A;ES613;55564;2020;VIAJEROS;17550.747628007;A
A;ES613;55543;2014;VIAJEROS;8208.3326817;A
A;ES613;55543;2015;VIAJEROS;11433.175843;A
A;ES613;55543;2016;VIAJEROS;13310.050082;A
A;ES613;55543;2017;VIAJEROS;9616.9379139;A
A;ES613;55543;2018;VIAJEROS;10823.182981;A
A;ES613;55543;2019;VIAJEROS;13272.180223154;A
A;ES613;55543;2020;VIAJEROS;7970.472758108;A
A;ES613;55563;2014;VIAJEROS;8662.374203202;A
A;ES613;55563;2015;VIAJEROS;10637.450240042;A
A;ES613;55563;2016;VIAJEROS;14172.357495508;A
A;ES613;55563;2017;VIAJEROS;18182.975186676;A
A;ES613;55563;2018;VIAJEROS;18459.637508006;A
A;ES613;55563;2019;VIAJEROS;19968.087896332;A
A;ES613;55563;2020;VIAJEROS;9580.274869899;A
A;ES613;55545;2014;VIAJEROS;116.72083333;A
A;ES613;55545;2015;VIAJEROS;128.28704683;A
A;ES613;55545;2016;VIAJEROS;366.29269259;A
A;ES613;55545;2017;VIAJEROS;319.84136673;A
A;ES613;55545;2018;VIAJEROS;764.90243255;A
A;ES613;55545;2019;VIAJEROS;649.245970947;A
A;ES613;55545;2020;VIAJEROS;163.320308949;A
A;ES613;55546;2014;VIAJEROS;30.016666667;A
A;ES613;55546;2015;VIAJEROS;47.968137704;A
A;ES613;55546;2016;VIAJEROS;88.856842967;A
A;ES613;55546;2017;VIAJEROS;247.49697845;A
A;ES613;55546;2018;VIAJEROS;114.90630055;A
A;ES613;55546;2019;VIAJEROS;265.356661813;A
A;ES613;55546;2020;VIAJEROS;57.819641011;A
