D_TEMPORAL_0;D_TERRITORIO_0;D_DISTRIBUCION_MNP_0;INDICATOR;OBS_VALUE;FREQ
2003;3143;70395;Muertes fetales tardías;679.0;A
2003;3143;70391;Muertes fetales tardías;337.0;A
2003;3143;70394;Muertes fetales tardías;342.0;A
2002;2352;70395;Muertes fetales tardías;40.0;A
2002;2352;70391;Muertes fetales tardías;20.0;A
2002;2352;70394;Muertes fetales tardías;20.0;A
2002;2402;70395;Muertes fetales tardías;140.0;A
2002;2402;70391;Muertes fetales tardías;72.0;A
2002;2402;70394;Muertes fetales tardías;68.0;A
2002;2482;70395;Muertes fetales tardías;76.0;A
2002;2482;70391;Muertes fetales tardías;38.0;A
2002;2482;70394;Muertes fetales tardías;38.0;A
2002;2713;70395;Muertes fetales tardías;71.0;A
2002;2713;70391;Muertes fetales tardías;35.0;A
2002;2713;70394;Muertes fetales tardías;36.0;A
2002;2797;70395;Muertes fetales tardías;6.0;A
2002;2797;70391;Muertes fetales tardías;4.0;A
2002;2797;70394;Muertes fetales tardías;2.0;A
2002;2911;70395;Muertes fetales tardías;54.0;A
2002;2911;70391;Muertes fetales tardías;27.0;A
2002;2911;70394;Muertes fetales tardías;27.0;A
2002;3023;70395;Muertes fetales tardías;104.0;A
2002;3023;70391;Muertes fetales tardías;49.0;A
2002;3023;70394;Muertes fetales tardías;55.0;A
2002;3142;70395;Muertes fetales tardías;203.0;A
2002;3142;70391;Muertes fetales tardías;100.0;A
2002;3142;70394;Muertes fetales tardías;103.0;A
2002;3143;70395;Muertes fetales tardías;694.0;A
2002;3143;70391;Muertes fetales tardías;345.0;A
2002;3143;70394;Muertes fetales tardías;349.0;A
2001;2352;70395;Muertes fetales tardías;48.0;A
2001;2352;70391;Muertes fetales tardías;24.0;A
2001;2352;70394;Muertes fetales tardías;24.0;A
2001;2402;70395;Muertes fetales tardías;138.0;A
2001;2402;70391;Muertes fetales tardías;69.0;A
2001;2402;70394;Muertes fetales tardías;69.0;A
2001;2482;70395;Muertes fetales tardías;65.0;A
2001;2482;70391;Muertes fetales tardías;33.0;A
2001;2482;70394;Muertes fetales tardías;32.0;A
2001;2713;70395;Muertes fetales tardías;74.0;A
2001;2713;70391;Muertes fetales tardías;37.0;A
2001;2713;70394;Muertes fetales tardías;37.0;A
2001;2797;70395;Muertes fetales tardías;1.0;A
2001;2797;70391;Muertes fetales tardías;1.0;A
2001;2911;70395;Muertes fetales tardías;48.0;A
2001;2911;70391;Muertes fetales tardías;25.0;A
2001;2911;70394;Muertes fetales tardías;23.0;A
2001;3023;70395;Muertes fetales tardías;98.0;A
2001;3023;70391;Muertes fetales tardías;47.0;A
2001;3023;70394;Muertes fetales tardías;51.0;A
2001;3142;70395;Muertes fetales tardías;241.0;A
2001;3142;70391;Muertes fetales tardías;119.0;A
