TEMPORAL;TERRITORIO;ESTADOCIVIL;ESTADOCIVILC2;INDICATOR;OBS_VALUE;FREQ;EDAD;EDADC2;SEXO;SEXOC2;DURACMATRIM;NUMHIJOSMENORED;CUSTODIA;NACIONACONYUGES;TIPOMATRIMONIO
2019;ES613;4320;4965;DIV;2.12065;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES613;4323;4967;DIV;88.1823;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES613;4323;4958;DIV;61.49342;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES613;4323;4965;DIV;26.68888;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES614;TOTAL;4967;DIV;1634.5488;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES614;TOTAL;4958;DIV;1519.65056;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES614;TOTAL;4962;DIV;12.97776;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES614;TOTAL;4965;DIV;101.92048;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES614;4316;4967;DIV;1497.49824;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES614;4316;4958;DIV;1449.47152;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES614;4316;4962;DIV;7.19184;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES614;4316;4965;DIV;40.83488;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES614;4320;4967;DIV;17.27664;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES614;4320;4958;DIV;10.0848;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES614;4320;4965;DIV;7.19184;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES614;4323;4967;DIV;119.77392;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES614;4323;4958;DIV;60.09424;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES614;4323;4962;DIV;5.78592;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES614;4323;4965;DIV;53.89376;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES615;TOTAL;4967;DIV;1003.79841;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES615;TOTAL;4958;DIV;925.618;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES615;TOTAL;4962;DIV;3.05689;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES615;TOTAL;4965;DIV;75.12352;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES615;4316;4967;DIV;916.44733;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES615;4316;4958;DIV;879.88455;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES615;4316;4965;DIV;36.56278;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES615;4320;4967;DIV;6.11378;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES615;4320;4958;DIV;3.05689;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES615;4320;4962;DIV;3.05689;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES615;4323;4967;DIV;81.2373;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES615;4323;4958;DIV;42.67656;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES615;4323;4965;DIV;38.56074;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES616;TOTAL;4967;DIV;1181.24056;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES616;TOTAL;4958;DIV;1120.40558;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES616;TOTAL;4962;DIV;3.04022;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES616;TOTAL;4965;DIV;57.79476;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES616;4316;4967;DIV;1104.69268;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
