TEMPORAL;TERRITORIO;EDAD;SEXO;INDICATOR;OBS_VALUE;FREQ
2020;2287;Y30-34;_T;NACI;1.0;A
2020;2287;Y30-34;M;NACI;1.0;A
2020;2288;TOTAL;_T;NACI;34.0;A
2020;2288;TOTAL;M;NACI;15.0;A
2020;2288;TOTAL;F;NACI;19.0;A
2020;2288;Y15-29;_T;NACI;1.0;A
2020;2288;Y15-29;F;NACI;1.0;A
2020;2288;Y20-24;_T;NACI;7.0;A
2020;2288;Y20-24;M;NACI;2.0;A
2020;2288;Y20-24;F;NACI;5.0;A
2020;2288;Y25-29;_T;NACI;10.0;A
2020;2288;Y25-29;M;NACI;2.0;A
2020;2288;Y25-29;F;NACI;8.0;A
2020;2288;Y30-34;_T;NACI;11.0;A
2020;2288;Y30-34;M;NACI;7.0;A
2020;2288;Y30-34;F;NACI;4.0;A
2020;2288;Y35-39;_T;NACI;5.0;A
2020;2288;Y35-39;M;NACI;4.0;A
2020;2288;Y35-39;F;NACI;1.0;A
2020;2289;TOTAL;_T;NACI;20.0;A
2020;2289;TOTAL;M;NACI;14.0;A
2020;2289;TOTAL;F;NACI;6.0;A
2020;2289;Y15-29;_T;NACI;1.0;A
2020;2289;Y15-29;F;NACI;1.0;A
2020;2289;Y20-24;_T;NACI;1.0;A
2020;2289;Y20-24;M;NACI;1.0;A
2020;2289;Y25-29;_T;NACI;7.0;A
2020;2289;Y25-29;M;NACI;5.0;A
2020;2289;Y25-29;F;NACI;2.0;A
2020;2289;Y30-34;_T;NACI;10.0;A
2020;2289;Y30-34;M;NACI;8.0;A
2020;2289;Y30-34;F;NACI;2.0;A
2020;2289;Y35-39;_T;NACI;1.0;A
2020;2289;Y35-39;F;NACI;1.0;A
2020;2290;TOTAL;_T;NACI;90.0;A
2020;2290;TOTAL;M;NACI;46.0;A
2020;2290;TOTAL;F;NACI;44.0;A
2020;2290;Y15-29;_T;NACI;3.0;A
2020;2290;Y15-29;M;NACI;1.0;A
2020;2290;Y15-29;F;NACI;2.0;A
2020;2290;Y20-24;_T;NACI;14.0;A
2020;2290;Y20-24;M;NACI;4.0;A
2020;2290;Y20-24;F;NACI;10.0;A
2020;2290;Y25-29;_T;NACI;19.0;A
2020;2290;Y25-29;M;NACI;9.0;A
2020;2290;Y25-29;F;NACI;10.0;A
2020;2290;Y30-34;_T;NACI;23.0;A
2020;2290;Y30-34;M;NACI;10.0;A
2020;2290;Y30-34;F;NACI;13.0;A
2020;2290;Y35-39;_T;NACI;26.0;A
2020;2290;Y35-39;M;NACI;19.0;A
2020;2290;Y35-39;F;NACI;7.0;A
2020;2290;Y30-44;_T;NACI;5.0;A
2020;2290;Y30-44;M;NACI;3.0;A
2020;2290;Y30-44;F;NACI;2.0;A
2020;2291;TOTAL;_T;NACI;14.0;A
2020;2291;TOTAL;M;NACI;7.0;A
2020;2291;TOTAL;F;NACI;7.0;A
2020;2291;Y15-29;_T;NACI;1.0;A
2020;2291;Y15-29;F;NACI;1.0;A
2020;2291;Y20-24;_T;NACI;1.0;A
2020;2291;Y20-24;M;NACI;1.0;A
2020;2291;Y25-29;_T;NACI;5.0;A
2020;2291;Y25-29;M;NACI;3.0;A
2020;2291;Y25-29;F;NACI;2.0;A
2020;2291;Y30-34;_T;NACI;4.0;A
2020;2291;Y30-34;M;NACI;2.0;A
2020;2291;Y30-34;F;NACI;2.0;A
2020;2291;Y35-39;_T;NACI;2.0;A
2020;2291;Y35-39;F;NACI;2.0;A
