D_TEMPORAL_0;D_TERRITORIO_0;D_SEXO_0;D_PCSSA_JUBVIUDEDAD_0;INDICATOR;OBS_VALUE;FREQ
2019;2373;3690;212544;Número de pensionistas;4253.0;A
2019;2374;3691;212544;Número de pensionistas;800.0;A
2019;2374;3689;212544;Número de pensionistas;680.0;A
2019;2374;3690;212544;Número de pensionistas;120.0;A
2019;2375;3691;212544;Número de pensionistas;4938.0;A
2019;2375;3689;212544;Número de pensionistas;3904.0;A
2019;2375;3690;212544;Número de pensionistas;1034.0;A
2019;2376;3691;212544;Número de pensionistas;988.0;A
2019;2376;3689;212544;Número de pensionistas;864.0;A
2019;2376;3690;212544;Número de pensionistas;124.0;A
2019;2377;3691;212544;Número de pensionistas;1000.0;A
2019;2377;3689;212544;Número de pensionistas;648.0;A
2019;2377;3690;212544;Número de pensionistas;352.0;A
2019;2378;3691;212544;Número de pensionistas;470.0;A
2019;2378;3689;212544;Número de pensionistas;394.0;A
2019;2378;3690;212544;Número de pensionistas;76.0;A
2019;2379;3691;212544;Número de pensionistas;596.0;A
2019;2379;3689;212544;Número de pensionistas;414.0;A
2019;2379;3690;212544;Número de pensionistas;182.0;A
2019;2380;3691;212544;Número de pensionistas;6962.0;A
2019;2380;3689;212544;Número de pensionistas;5560.0;A
2019;2380;3690;212544;Número de pensionistas;1402.0;A
2019;2381;3691;212544;Número de pensionistas;3131.0;A
2019;2381;3689;212544;Número de pensionistas;2637.0;A
2019;2381;3690;212544;Número de pensionistas;494.0;A
2019;2382;3691;212544;Número de pensionistas;577.0;A
2019;2382;3689;212544;Número de pensionistas;334.0;A
2019;2382;3690;212544;Número de pensionistas;243.0;A
2019;2383;3691;212544;Número de pensionistas;2243.0;A
2019;2383;3689;212544;Número de pensionistas;1915.0;A
2019;2383;3690;212544;Número de pensionistas;328.0;A
2019;2384;3691;212544;Número de pensionistas;6646.0;A
2019;2384;3689;212544;Número de pensionistas;5412.0;A
2019;2384;3690;212544;Número de pensionistas;1234.0;A
2019;2398;3691;212544;Número de pensionistas;461.0;A
2019;2398;3689;212544;Número de pensionistas;356.0;A
2019;2398;3690;212544;Número de pensionistas;105.0;A
2019;2386;3691;212544;Número de pensionistas;2185.0;A
2019;2386;3689;212544;Número de pensionistas;1777.0;A
2019;2386;3690;212544;Número de pensionistas;408.0;A
2019;2385;3691;212544;Número de pensionistas;5665.0;A
2019;2385;3689;212544;Número de pensionistas;4587.0;A
2019;2385;3690;212544;Número de pensionistas;1078.0;A
2019;2387;3691;212544;Número de pensionistas;361.0;A
2019;2387;3689;212544;Número de pensionistas;222.0;A
2019;2387;3690;212544;Número de pensionistas;139.0;A
2019;2388;3691;212544;Número de pensionistas;1429.0;A
2019;2388;3689;212544;Número de pensionistas;1140.0;A
2019;2388;3690;212544;Número de pensionistas;289.0;A
2019;2389;3691;212544;Número de pensionistas;130.0;A
2019;2389;3689;212544;Número de pensionistas;72.0;A
2019;2389;3690;212544;Número de pensionistas;58.0;A
2019;2390;3691;212544;Número de pensionistas;771.0;A
2019;2390;3689;212544;Número de pensionistas;523.0;A
2019;2390;3690;212544;Número de pensionistas;248.0;A
2019;2391;3691;212544;Número de pensionistas;1651.0;A
2019;2391;3689;212544;Número de pensionistas;1269.0;A
2019;2391;3690;212544;Número de pensionistas;382.0;A
2019;2392;3691;212544;Número de pensionistas;1048.0;A
2019;2392;3689;212544;Número de pensionistas;903.0;A
2019;2392;3690;212544;Número de pensionistas;145.0;A
2019;2393;3691;212544;Número de pensionistas;65.0;A
2019;2393;3689;212544;Número de pensionistas;48.0;A
2019;2393;3690;212544;Número de pensionistas;17.0;A
2019;2394;3691;212544;Número de pensionistas;1074.0;A
2019;2394;3689;212544;Número de pensionistas;662.0;A
2019;2394;3690;212544;Número de pensionistas;412.0;A
2019;2395;3691;212544;Número de pensionistas;203.0;A
2019;2395;3689;212544;Número de pensionistas;130.0;A
2019;2395;3690;212544;Número de pensionistas;73.0;A
2019;2482;3691;212544;Número de pensionistas;86144.0;A
2019;2482;3689;212544;Número de pensionistas;57352.0;A
2019;2482;3690;212544;Número de pensionistas;28792.0;A
2019;2403;3691;212544;Número de pensionistas;614.0;A
2019;2403;3689;212544;Número de pensionistas;358.0;A
2019;2403;3690;212544;Número de pensionistas;256.0;A
2019;2404;3691;212544;Número de pensionistas;1630.0;A
2019;2404;3689;212544;Número de pensionistas;927.0;A
2019;2404;3690;212544;Número de pensionistas;703.0;A
2019;2405;3691;212544;Número de pensionistas;212.0;A
2019;2405;3689;212544;Número de pensionistas;148.0;A
2019;2405;3690;212544;Número de pensionistas;64.0;A
2019;2406;3691;212544;Número de pensionistas;338.0;A
2019;2406;3689;212544;Número de pensionistas;202.0;A
2019;2406;3690;212544;Número de pensionistas;136.0;A
2019;2407;3691;212544;Número de pensionistas;874.0;A
2019;2407;3689;212544;Número de pensionistas;577.0;A
2019;2407;3690;212544;Número de pensionistas;297.0;A
2019;2408;3691;212544;Número de pensionistas;211.0;A
2019;2408;3689;212544;Número de pensionistas;142.0;A
2019;2408;3690;212544;Número de pensionistas;69.0;A
2019;2409;3691;212544;Número de pensionistas;1945.0;A
2019;2409;3689;212544;Número de pensionistas;1253.0;A
2019;2409;3690;212544;Número de pensionistas;692.0;A
2019;2410;3691;212544;Número de pensionistas;443.0;A
2019;2410;3689;212544;Número de pensionistas;325.0;A
2019;2410;3690;212544;Número de pensionistas;118.0;A
2019;2411;3691;212544;Número de pensionistas;405.0;A
2019;2411;3689;212544;Número de pensionistas;338.0;A
2019;2411;3690;212544;Número de pensionistas;67.0;A
2019;2412;3691;212544;Número de pensionistas;552.0;A
2019;2412;3689;212544;Número de pensionistas;324.0;A
2019;2412;3690;212544;Número de pensionistas;228.0;A
2019;2413;3691;212544;Número de pensionistas;79.0;A
2019;2413;3689;212544;Número de pensionistas;68.0;A
2019;2413;3690;212544;Número de pensionistas;11.0;A
2019;2414;3691;212544;Número de pensionistas;962.0;A
2019;2414;3689;212544;Número de pensionistas;540.0;A
2019;2414;3690;212544;Número de pensionistas;422.0;A
2019;2415;3691;212544;Número de pensionistas;2343.0;A
2019;2415;3689;212544;Número de pensionistas;1517.0;A
2019;2415;3690;212544;Número de pensionistas;826.0;A
2019;2416;3691;212544;Número de pensionistas;456.0;A
