TEMPORAL;SEXO;MCVL_TIPOPENSION;TERRITORIO;MCVL_PENSIONISTA;INDICATOR;OBS_VALUE;FREQ
2008;M;55190;ES618;55179;POP;3150.0;A
2008;M;55190;ES61;55179;POP;14925.0;A
2008;M;55191;ES618;55179;POP;600.0;A
2008;M;55191;ES61;55179;POP;2175.0;A
2008;M;55193;ES611;55179;POP;44325.0;A
2008;M;55193;ES612;55179;POP;98475.0;A
2008;M;55193;ES613;55179;POP;71825.0;A
2008;M;55193;ES614;55179;POP;81475.0;A
2008;M;55193;ES615;55179;POP;45275.0;A
2008;M;55193;ES616;55179;POP;69325.0;A
2008;M;55193;ES617;55179;POP;113850.0;A
2008;M;55193;ES618;55179;POP;157025.0;A
2008;M;55193;ES61;55179;POP;681575.0;A
