TEMPORAL;TERRITORIO;SEXO;PCSSA_JUBVIUDEDAD;INDICATOR;OBS_VALUE;FREQ
2019;2387;_T;212544;NUM_PEN_PERS;361.0;A
2019;2387;M;212544;NUM_PEN_PERS;222.0;A
2019;2387;F;212544;NUM_PEN_PERS;139.0;A
2019;2388;_T;212544;NUM_PEN_PERS;1429.0;A
2019;2388;M;212544;NUM_PEN_PERS;1140.0;A
2019;2388;F;212544;NUM_PEN_PERS;289.0;A
2019;2389;_T;212544;NUM_PEN_PERS;130.0;A
2019;2389;M;212544;NUM_PEN_PERS;72.0;A
2019;2389;F;212544;NUM_PEN_PERS;58.0;A
2019;2390;_T;212544;NUM_PEN_PERS;771.0;A
2019;2390;M;212544;NUM_PEN_PERS;523.0;A
2019;2390;F;212544;NUM_PEN_PERS;248.0;A
2019;2391;_T;212544;NUM_PEN_PERS;1651.0;A
2019;2391;M;212544;NUM_PEN_PERS;1269.0;A
2019;2391;F;212544;NUM_PEN_PERS;382.0;A
2019;2392;_T;212544;NUM_PEN_PERS;1048.0;A
2019;2392;M;212544;NUM_PEN_PERS;903.0;A
2019;2392;F;212544;NUM_PEN_PERS;145.0;A
2019;2393;_T;212544;NUM_PEN_PERS;65.0;A
2019;2393;M;212544;NUM_PEN_PERS;48.0;A
2019;2393;F;212544;NUM_PEN_PERS;17.0;A
2019;2394;_T;212544;NUM_PEN_PERS;1074.0;A
2019;2394;M;212544;NUM_PEN_PERS;662.0;A
2019;2394;F;212544;NUM_PEN_PERS;412.0;A
2019;2395;_T;212544;NUM_PEN_PERS;203.0;A
2019;2395;M;212544;NUM_PEN_PERS;130.0;A
2019;2395;F;212544;NUM_PEN_PERS;73.0;A
2019;ES613;_T;212544;NUM_PEN_PERS;86144.0;A
2019;ES613;M;212544;NUM_PEN_PERS;57352.0;A
2019;ES613;F;212544;NUM_PEN_PERS;28792.0;A
2019;2403;_T;212544;NUM_PEN_PERS;614.0;A
2019;2403;M;212544;NUM_PEN_PERS;358.0;A
2019;2403;F;212544;NUM_PEN_PERS;256.0;A
2019;2404;_T;212544;NUM_PEN_PERS;1630.0;A
2019;2404;M;212544;NUM_PEN_PERS;927.0;A
2019;2404;F;212544;NUM_PEN_PERS;703.0;A
2019;2405;_T;212544;NUM_PEN_PERS;212.0;A
2019;2405;M;212544;NUM_PEN_PERS;148.0;A
2019;2405;F;212544;NUM_PEN_PERS;64.0;A
2019;2406;_T;212544;NUM_PEN_PERS;338.0;A
