ESTADO_DATO;TERRITORIO;CAT_HOTELES;TEMPORAL;RESITUR;INDICATOR;OBS_VALUE;FREQ;PARQUES_TURISMO
A;ES611;264446;2019;55698;VIAJEROS;157318.015169404;A;
A;ES611;264446;2019;55565;VIAJEROS;121954.955600578;A;
A;ES611;264446;2019;55697;VIAJEROS;35363.059568826;A;
A;ES611;264446;2018;55698;VIAJEROS;141261.555405203;A;
A;ES611;264446;2018;55565;VIAJEROS;110008.88330863;A;
A;ES611;264446;2018;55697;VIAJEROS;31252.672096573;A;
A;ES611;264446;2017;55698;VIAJEROS;108595.857143567;A;
A;ES611;264446;2017;55565;VIAJEROS;82486.70791401;A;
A;ES611;264446;2017;55697;VIAJEROS;26109.149229557;A;
A;ES611;264446;2016;55698;VIAJEROS;135727.317253626;A;
A;ES611;264446;2016;55565;VIAJEROS;110352.41982938;A;
A;ES611;264446;2016;55697;VIAJEROS;25374.897424246;A;
A;ES611;264446;2015;55698;VIAJEROS;153411.642570659;A;
A;ES611;264446;2015;55565;VIAJEROS;123311.34720804;A;
A;ES611;264446;2015;55697;VIAJEROS;30100.295362619;A;
A;ES611;264446;2014;55698;VIAJEROS;149916.000000006;A;
A;ES611;264446;2014;55565;VIAJEROS;121947.03662074;A;
A;ES611;264446;2014;55697;VIAJEROS;27968.963379266;A;
A;ES611;264446;2013;55698;VIAJEROS;187319.79;A;
A;ES611;264446;2013;55565;VIAJEROS;146811.94;A;
A;ES611;264446;2013;55697;VIAJEROS;40507.85;A;
A;ES611;264446;2012;55698;VIAJEROS;155748.48;A;
A;ES611;264446;2012;55565;VIAJEROS;128657.71;A;
A;ES611;264446;2012;55697;VIAJEROS;27090.77;A;
A;ES611;264446;2011;55698;VIAJEROS;194090.86;A;
A;ES611;264446;2011;55565;VIAJEROS;165587.43;A;
A;ES611;264446;2011;55697;VIAJEROS;28503.43;A;
A;ES611;264446;2010;55698;VIAJEROS;203199.79;A;
A;ES611;264446;2010;55565;VIAJEROS;178854.21;A;
A;ES611;264446;2010;55697;VIAJEROS;24345.58;A;
A;ES611;264446;2009;55698;VIAJEROS;233560.8;A;
A;ES611;264446;2009;55565;VIAJEROS;205968.9;A;
A;ES611;264446;2009;55697;VIAJEROS;27591.9;A;
A;ES611;264446;2008;55698;VIAJEROS;275388.32;A;
A;ES611;264446;2008;55565;VIAJEROS;239195.3;A;
A;ES611;264446;2008;55697;VIAJEROS;36193.02;A;
A;ES611;62148;2020;55698;VIAJEROS;39933.722290009;A;
A;ES611;62148;2020;55565;VIAJEROS;34622.964123654;A;
A;ES611;62148;2020;55697;VIAJEROS;5310.758166355;A;
A;ES611;62148;2019;55698;VIAJEROS;89531.285714289;A;
A;ES611;62148;2019;55565;VIAJEROS;66143.857142858;A;
A;ES611;62148;2019;55697;VIAJEROS;23387.428571431;A;
A;ES611;62148;2018;55698;VIAJEROS;87292.14285767;A;
A;ES611;62148;2018;55565;VIAJEROS;65761.14285767;A;
A;ES611;62148;2018;55697;VIAJEROS;21531.0;A;
A;ES611;62148;2017;55698;VIAJEROS;76965.142857487;A;
A;ES611;62148;2017;55565;VIAJEROS;59274.14285752;A;
A;ES611;62148;2017;55697;VIAJEROS;17690.999999967;A;
A;ES611;62148;2016;55698;VIAJEROS;73052.857142459;A;
A;ES611;62148;2016;55565;VIAJEROS;57115.428571;A;
A;ES611;62148;2016;55697;VIAJEROS;15937.428571459;A;
A;ES611;62148;2015;55698;VIAJEROS;57156.560841207;A;
