TEMPORAL;CIE10;TERRITORIO;SEXO;INDICATOR;OBS_VALUE;FREQ
2019;57628;ES613;F;DEATHS;3919.0;A
2019;57628;ES614;_T;DEATHS;7997.0;A
2019;57628;ES614;M;DEATHS;4075.0;A
2019;57628;ES614;F;DEATHS;3922.0;A
2019;57628;ES615;_T;DEATHS;4354.0;A
2019;57628;ES615;M;DEATHS;2290.0;A
2019;57628;ES615;F;DEATHS;2064.0;A
2019;57628;ES616;_T;DEATHS;6520.0;A
2019;57628;ES616;M;DEATHS;3310.0;A
2019;57628;ES616;F;DEATHS;3210.0;A
2019;57628;ES617;_T;DEATHS;12759.0;A
2019;57628;ES617;M;DEATHS;6677.0;A
2019;57628;ES617;F;DEATHS;6082.0;A
2019;57628;ES618;_T;DEATHS;15812.0;A
2019;57628;ES618;M;DEATHS;8066.0;A
2019;57628;ES618;F;DEATHS;7746.0;A
2019;56093;ES61;_T;DEATHS;1130.0;A
2019;56093;ES61;M;DEATHS;586.0;A
2019;56093;ES61;F;DEATHS;544.0;A
2019;56093;ES611;_T;DEATHS;90.0;A
2019;56093;ES611;M;DEATHS;42.0;A
2019;56093;ES611;F;DEATHS;48.0;A
2019;56093;ES612;_T;DEATHS;200.0;A
2019;56093;ES612;M;DEATHS;120.0;A
2019;56093;ES612;F;DEATHS;80.0;A
2019;56093;ES613;_T;DEATHS;114.0;A
2019;56093;ES613;M;DEATHS;58.0;A
2019;56093;ES613;F;DEATHS;56.0;A
