D_TEMPORAL_0;D_TERRITORIO_0;D_NUMHIJOSMENORED_0;INDICATOR;OBS_VALUE;FREQ
2011;ES614;3;DIV;77.16153716;A
2011;ES614;4;DIV;2.30845164;A
2011;ES614;05mas;DIV;;A
2011;ES615;000;DIV;976.40048302;A
2011;ES615;0;DIV;372.33923021;A
2011;ES615;1;DIV;331.09876328;A
2011;ES615;2;DIV;238.67755323;A
2011;ES615;3;DIV;29.82189314;A
2011;ES615;4;DIV;4.46304316;A
2011;ES616;000;DIV;1223.16206129;A
2011;ES616;0;DIV;453.89824154;A
2011;ES616;1;DIV;401.44938377;A
2011;ES616;2;DIV;321.72581146;A
2011;ES616;3;DIV;42.65822548;A
2011;ES616;4;DIV;3.43039904;A
2011;ES617;000;DIV;3827.02436747;A
2011;ES617;0;DIV;1750.01485096;A
2011;ES617;1;DIV;1095.64919368;A
2011;ES617;2;DIV;839.63571072;A
2011;ES617;3;DIV;127.68371955;A
2011;ES617;4;DIV;12.54909087;A
2011;ES617;05mas;DIV;1.49180169;A
2011;ES618;000;DIV;4315.22527316;A
2011;ES618;0;DIV;1846.57133392;A
2011;ES618;1;DIV;1300.8164242;A
2011;ES618;2;DIV;1001.4420384;A
2011;ES618;3;DIV;146.53213006;A
2011;ES618;4;DIV;15.24739142;A
2011;ES618;05mas;DIV;4.61595516;A
2010;ES61;000;DIV;18373.44232079;A
2010;ES61;0;DIV;8065.31128136;A
2010;ES61;1;DIV;5593.03758546;A
2010;ES61;2;DIV;4025.1756401;A
2010;ES61;3;DIV;625.40437014;A
2010;ES61;4;DIV;56.08979426;A
2010;ES61;05mas;DIV;8.42364947;A
2010;ES611;000;DIV;1362.40772485;A
2010;ES611;0;DIV;637.91482471;A
2010;ES611;1;DIV;427.86772925;A
2010;ES611;2;DIV;246.61045796;A
2010;ES611;3;DIV;46.42308397;A
2010;ES611;4;DIV;3.59162896;A
2010;ES611;05mas;DIV;;A
2010;ES612;000;DIV;2718.61775842;A
2010;ES612;0;DIV;1205.02172308;A
2010;ES612;1;DIV;821.67696864;A
2010;ES612;2;DIV;584.38205406;A
2010;ES612;3;DIV;105.28180038;A
2010;ES612;4;DIV;2.25521226;A
2010;ES612;05mas;DIV;;A
2010;ES613;000;DIV;1659.02026916;A
2010;ES613;0;DIV;711.70786281;A
2010;ES613;1;DIV;529.88168197;A
2010;ES613;2;DIV;342.19432698;A
2010;ES613;3;DIV;71.5255726;A
2010;ES613;4;DIV;3.7108248;A
2010;ES613;05mas;DIV;;A
2010;ES614;000;DIV;2005.38373943;A
2010;ES614;0;DIV;896.31338402;A
2010;ES614;1;DIV;560.3100903;A
2010;ES614;2;DIV;460.52129936;A
2010;ES614;3;DIV;80.13866957;A
2010;ES614;4;DIV;8.10029618;A
2010;ES614;05mas;DIV;;A
2010;ES615;000;DIV;992.51673019;A
2010;ES615;0;DIV;365.54317683;A
2010;ES615;1;DIV;343.41205939;A
2010;ES615;2;DIV;262.43037653;A
2010;ES615;3;DIV;21.13111744;A
2010;ES615;05mas;DIV;;A
2010;ES616;000;DIV;1193.6878551;A
2010;ES616;0;DIV;503.40566671;A
2010;ES616;1;DIV;363.363745;A
2010;ES616;2;DIV;278.57335401;A
2010;ES616;3;DIV;44.49493093;A
2010;ES616;4;DIV;3.85015845;A
2010;ES616;05mas;DIV;;A
2010;ES617;000;DIV;3876.9745934;A
2010;ES617;0;DIV;1813.05202636;A
2010;ES617;1;DIV;1132.46632564;A
2010;ES617;2;DIV;806.15460836;A
2010;ES617;3;DIV;102.6103785;A
2010;ES617;4;DIV;17.86002722;A
2010;ES617;05mas;DIV;4.83122732;A
2010;ES618;000;DIV;4564.83365024;A
2010;ES618;0;DIV;1932.35261684;A
2010;ES618;1;DIV;1414.05898527;A
2010;ES618;2;DIV;1044.30916284;A
2010;ES618;3;DIV;153.79881675;A
2010;ES618;4;DIV;16.72164639;A
2010;ES618;05mas;DIV;3.59242215;A
2009;ES61;000;DIV;17493.840001105;A
2009;ES61;0;DIV;7367.016376294;A
2009;ES61;1;DIV;5521.814068235;A
2009;ES61;2;DIV;3957.4437141;A
2009;ES61;3;DIV;575.932710851;A
2009;ES61;4;DIV;60.759239981;A
2009;ES61;05mas;DIV;10.873891644;A
2009;ES611;000;DIV;1275.959999958;A
2009;ES611;0;DIV;548.909408698;A
2009;ES611;1;DIV;419.489501416;A
2009;ES611;2;DIV;259.262625628;A
2009;ES611;3;DIV;48.298464216;A
