TEMPORAL;CNAE09;TERRITORIO;EPD_TAMANOEMPRESA;INDICATOR;OBS_VALUE;FREQ
2016;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_APLI_PROC_AUTO_INFO_TIPO_ERP_O_CRM;7.68720436808947;A
2017;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_APLI_PROC_AUTO_INFO_TIPO_ERP_O_CRM;3.484199758290677;A
2018;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_APLI_PROC_AUTO_INFO_TIPO_ERP_O_CRM;6.334957020588027;A
2021;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_APLI_PROC_AUTO_INFO_TIPO_ERP_O_CRM;5.285550308603104;A
2018;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_SOFT_EL_ANAL_BIG_DATA_B;0.7091789632091687;A
2021;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_SOFT_EL_ANAL_BIG_DATA_B;2.5528247932255823;A
2018;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_SOFT_EL_ANAL_BIG_DATA;0.49081001384506984;A
2021;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_SOFT_EL_ANAL_BIG_DATA;1.6729303933364816;A
2011;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_SOFT_SEGU_PLAT_APRE_SERV_CORR_ELEC_B;30.980853926183787;A
2012;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_SOFT_SEGU_PLAT_APRE_SERV_CORR_ELEC_B;29.142984014659035;A
2013;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_SOFT_SEGU_PLAT_APRE_SERV_CORR_ELEC_B;30.76873138947953;A
2014;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_SOFT_SEGU_PLAT_APRE_SERV_CORR_ELEC_B;29.63225592709054;A
2015;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_SOFT_SEGU_PLAT_APRE_SERV_CORR_ELEC_B;28.238809289381255;A
2016;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_SOFT_SEGU_PLAT_APRE_SERV_CORR_ELEC_B;39.0567500387939;A
2017;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_SOFT_SEGU_PLAT_APRE_SERV_CORR_ELEC_B;29.737882724758734;A
2018;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_SOFT_SEGU_PLAT_APRE_SERV_CORR_ELEC_B;31.556055234193515;A
2021;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_SOFT_SEGU_PLAT_APRE_SERV_CORR_ELEC_B;31.87560047260294;A
2011;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_SOFT_SEGU_PLAT_APRE_SERV_CORR_ELEC;14.452948735773754;A
2012;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_SOFT_SEGU_PLAT_APRE_SERV_CORR_ELEC;16.633334995810234;A
2013;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_SOFT_SEGU_PLAT_APRE_SERV_CORR_ELEC;14.364467015642221;A
2014;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_SOFT_SEGU_PLAT_APRE_SERV_CORR_ELEC;15.912481662973251;A
2015;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_SOFT_SEGU_PLAT_APRE_SERV_CORR_ELEC;17.755109261357813;A
2016;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_SOFT_SEGU_PLAT_APRE_SERV_CORR_ELEC;24.726926879550675;A
2017;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_SOFT_SEGU_PLAT_APRE_SERV_CORR_ELEC;18.826886866600518;A
2018;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_SOFT_SEGU_PLAT_APRE_SERV_CORR_ELEC;21.839378647533554;A
2021;6949;ES61;38434;PCT_EMPR_QUE_UTIL_SOFT_CODI_ABIE_SEGU_TIPO_SOFT_SEGU_PLAT_APRE_SERV_CORR_ELEC;20.888883944553584;A
2013;6949;ES61;38434;PCT_EMPR_QUE_NO_USAN_SOFT_CODI_ABIE_DESC_SOLU_Y_FALT_REFE_SOBR_PROD_SOFT_LIBR_A;26.82420468937566;A
2014;6949;ES61;38434;PCT_EMPR_QUE_NO_USAN_SOFT_CODI_ABIE_DESC_SOLU_Y_FALT_REFE_SOBR_PROD_SOFT_LIBR_A;53.953619026811076;A
2015;6949;ES61;38434;PCT_EMPR_QUE_NO_USAN_SOFT_CODI_ABIE_DESC_SOLU_Y_FALT_REFE_SOBR_PROD_SOFT_LIBR_A;51.06604042710167;A
2016;6949;ES61;38434;PCT_EMPR_QUE_NO_USAN_SOFT_CODI_ABIE_DESC_SOLU_Y_FALT_REFE_SOBR_PROD_SOFT_LIBR_A;11.090651421833202;A
2017;6949;ES61;38434;PCT_EMPR_QUE_NO_USAN_SOFT_CODI_ABIE_DESC_SOLU_Y_FALT_REFE_SOBR_PROD_SOFT_LIBR_A;10.511807825722794;A
2013;6949;ES61;38434;PCT_EMPR_QUE_NO_USAN_SOFT_CODI_ABIE_LOS_PROB_QUE_PUED_CONL_LA_MIGR_A;12.496268598035362;A
2014;6949;ES61;38434;PCT_EMPR_QUE_NO_USAN_SOFT_CODI_ABIE_LOS_PROB_QUE_PUED_CONL_LA_MIGR_A;34.577546115671524;A
2015;6949;ES61;38434;PCT_EMPR_QUE_NO_USAN_SOFT_CODI_ABIE_LOS_PROB_QUE_PUED_CONL_LA_MIGR_A;31.822339511386733;A
2016;6949;ES61;38434;PCT_EMPR_QUE_NO_USAN_SOFT_CODI_ABIE_LOS_PROB_QUE_PUED_CONL_LA_MIGR_A;6.622446723111869;A
