ESTADO_DATO;TERRITORIO;TEMPORAL;INDICATOR;OBS_VALUE;FREQ;RESITUR;PARQUES_TURISMO;PUNTOS_TURISTICOS
A;ES61;2014;PERS_MEDI_NO_REMU;1493.110594138;A;_Z;_Z;_Z
A;ES61;2013;PERS_MEDI_NO_REMU;1405.030229988;A;_Z;_Z;_Z
P;ES611;2021;PERS_MEDI_NO_REMU;119.540638761;A;_Z;_Z;_Z
P;ES612;2021;PERS_MEDI_NO_REMU;44.149418052;A;_Z;_Z;_Z
P;ES613;2021;PERS_MEDI_NO_REMU;233.989533564;A;_Z;_Z;_Z
P;ES614;2021;PERS_MEDI_NO_REMU;123.628831059;A;_Z;_Z;_Z
P;ES615;2021;PERS_MEDI_NO_REMU;87.594999503;A;_Z;_Z;_Z
P;ES616;2021;PERS_MEDI_NO_REMU;176.108821227;A;_Z;_Z;_Z
P;ES617;2021;PERS_MEDI_NO_REMU;1283.363048246;A;_Z;_Z;_Z
P;ES618;2021;PERS_MEDI_NO_REMU;137.395811379;A;_Z;_Z;_Z
P;ES61;2021;PERS_MEDI_NO_REMU;2205.771101791;A;_Z;_Z;_Z
A;ES611;2020;ESTA_MEDI_ESTI;91.824736099;A;_Z;_Z;_Z
A;ES611;2019;ESTA_MEDI_ESTI;110.807649041;A;_Z;_Z;_Z
A;ES611;2018;ESTA_MEDI_ESTI;97.63369828;A;_Z;_Z;_Z
A;ES611;2017;ESTA_MEDI_ESTI;95.862501897;A;_Z;_Z;_Z
A;ES611;2016;ESTA_MEDI_ESTI;85.341122449;A;_Z;_Z;_Z
A;ES611;2015;ESTA_MEDI_ESTI;78.073654768;A;_Z;_Z;_Z
A;ES611;2014;ESTA_MEDI_ESTI;72.667784158;A;_Z;_Z;_Z
A;ES611;2013;ESTA_MEDI_ESTI;70.90031944;A;_Z;_Z;_Z
A;ES612;2020;ESTA_MEDI_ESTI;55.16192284;A;_Z;_Z;_Z
A;ES612;2019;ESTA_MEDI_ESTI;82.018715527;A;_Z;_Z;_Z
A;ES612;2018;ESTA_MEDI_ESTI;82.358688907;A;_Z;_Z;_Z
A;ES612;2017;ESTA_MEDI_ESTI;82.040208174;A;_Z;_Z;_Z
A;ES612;2016;ESTA_MEDI_ESTI;75.43974524;A;_Z;_Z;_Z
A;ES612;2015;ESTA_MEDI_ESTI;83.1987371;A;_Z;_Z;_Z
A;ES612;2014;ESTA_MEDI_ESTI;83.166991137;A;_Z;_Z;_Z
A;ES612;2013;ESTA_MEDI_ESTI;84.963737792;A;_Z;_Z;_Z
A;ES613;2020;ESTA_MEDI_ESTI;199.430487353;A;_Z;_Z;_Z
A;ES613;2019;ESTA_MEDI_ESTI;242.990661632;A;_Z;_Z;_Z
A;ES613;2018;ESTA_MEDI_ESTI;235.44965223;A;_Z;_Z;_Z
A;ES613;2017;ESTA_MEDI_ESTI;232.21637835;A;_Z;_Z;_Z
A;ES613;2016;ESTA_MEDI_ESTI;213.15034874;A;_Z;_Z;_Z
A;ES613;2015;ESTA_MEDI_ESTI;218.98799598;A;_Z;_Z;_Z
A;ES613;2014;ESTA_MEDI_ESTI;225.22762169;A;_Z;_Z;_Z
A;ES613;2013;ESTA_MEDI_ESTI;207.10502006;A;_Z;_Z;_Z
A;ES614;2020;ESTA_MEDI_ESTI;102.526923666;A;_Z;_Z;_Z
A;ES614;2019;ESTA_MEDI_ESTI;143.865554953;A;_Z;_Z;_Z
A;ES614;2018;ESTA_MEDI_ESTI;129.1306858;A;_Z;_Z;_Z
A;ES614;2017;ESTA_MEDI_ESTI;136.86060499;A;_Z;_Z;_Z
A;ES614;2016;ESTA_MEDI_ESTI;131.07092649;A;_Z;_Z;_Z
A;ES614;2015;ESTA_MEDI_ESTI;130.3551259;A;_Z;_Z;_Z
A;ES614;2014;ESTA_MEDI_ESTI;123.28425767;A;_Z;_Z;_Z
A;ES614;2013;ESTA_MEDI_ESTI;106.96973946;A;_Z;_Z;_Z
A;ES615;2020;ESTA_MEDI_ESTI;94.894243833;A;_Z;_Z;_Z
A;ES615;2019;ESTA_MEDI_ESTI;142.616888314;A;_Z;_Z;_Z
A;ES615;2018;ESTA_MEDI_ESTI;144.4351743;A;_Z;_Z;_Z
A;ES615;2017;ESTA_MEDI_ESTI;144.22461211;A;_Z;_Z;_Z
A;ES615;2016;ESTA_MEDI_ESTI;142.95044696;A;_Z;_Z;_Z
A;ES615;2015;ESTA_MEDI_ESTI;153.31512618;A;_Z;_Z;_Z
A;ES615;2014;ESTA_MEDI_ESTI;146.38969326;A;_Z;_Z;_Z
A;ES615;2013;ESTA_MEDI_ESTI;137.04047178;A;_Z;_Z;_Z
A;ES616;2020;ESTA_MEDI_ESTI;159.24946914;A;_Z;_Z;_Z
A;ES616;2019;ESTA_MEDI_ESTI;192.639167889;A;_Z;_Z;_Z
A;ES616;2018;ESTA_MEDI_ESTI;187.05819331;A;_Z;_Z;_Z
A;ES616;2017;ESTA_MEDI_ESTI;183.70667665;A;_Z;_Z;_Z
A;ES616;2016;ESTA_MEDI_ESTI;177.10052288;A;_Z;_Z;_Z
A;ES616;2015;ESTA_MEDI_ESTI;183.93172312;A;_Z;_Z;_Z
A;ES616;2014;ESTA_MEDI_ESTI;160.54240463;A;_Z;_Z;_Z
A;ES616;2013;ESTA_MEDI_ESTI;170.01925826;A;_Z;_Z;_Z
A;ES617;2020;ESTA_MEDI_ESTI;1130.547579822;A;_Z;_Z;_Z
A;ES617;2019;ESTA_MEDI_ESTI;1423.710551788;A;_Z;_Z;_Z
A;ES617;2018;ESTA_MEDI_ESTI;1210.3775025;A;_Z;_Z;_Z
A;ES617;2017;ESTA_MEDI_ESTI;1050.5056859;A;_Z;_Z;_Z
A;ES617;2016;ESTA_MEDI_ESTI;711.37380102;A;_Z;_Z;_Z
A;ES617;2015;ESTA_MEDI_ESTI;559.89922796;A;_Z;_Z;_Z
A;ES617;2014;ESTA_MEDI_ESTI;625.49090027;A;_Z;_Z;_Z
A;ES617;2013;ESTA_MEDI_ESTI;587.31891903;A;_Z;_Z;_Z
A;ES618;2020;ESTA_MEDI_ESTI;113.473974598;A;_Z;_Z;_Z
A;ES618;2019;ESTA_MEDI_ESTI;134.55925176;A;_Z;_Z;_Z
A;ES618;2018;ESTA_MEDI_ESTI;134.12720383;A;_Z;_Z;_Z
A;ES618;2017;ESTA_MEDI_ESTI;118.98966822;A;_Z;_Z;_Z
A;ES618;2016;ESTA_MEDI_ESTI;102.42134758;A;_Z;_Z;_Z
A;ES618;2015;ESTA_MEDI_ESTI;102.60353795;A;_Z;_Z;_Z
A;ES618;2014;ESTA_MEDI_ESTI;105.70370661;A;_Z;_Z;_Z
A;ES618;2013;ESTA_MEDI_ESTI;93.836628077;A;_Z;_Z;_Z
