TEMPORAL;TERRITORIO;VARIABLE;MONSALARIO;SEXO;EDAD;INDICATOR;OBS_VALUE;FREQ
2018;ES617;281604;281486;_T;TOTAL;ASAL_PER;388100.0;A
2018;ES617;281604;281486;M;TOTAL;ASAL_PER;101150.0;A
2018;ES617;281604;281486;F;TOTAL;ASAL_PER;92900.0;A
2018;ES617;281605;281485;_T;TOTAL;ASAL_PER;1036100.0;A
2018;ES617;281605;281485;M;TOTAL;ASAL_PER;266950.0;A
2018;ES617;281605;281485;F;TOTAL;ASAL_PER;251100.0;A
2018;ES617;281605;281486;_T;TOTAL;ASAL_PER;1036100.0;A
2018;ES617;281605;281486;M;TOTAL;ASAL_PER;266950.0;A
2018;ES617;281605;281486;F;TOTAL;ASAL_PER;251100.0;A
2018;ES617;281602;281485;_T;TOTAL;ASAL_PER;1712000.0;A
2018;ES617;281602;281485;M;TOTAL;ASAL_PER;447550.0;A
2018;ES617;281602;281485;F;TOTAL;ASAL_PER;408450.0;A
2018;ES617;281602;281486;_T;TOTAL;ASAL_PER;1712000.0;A
2018;ES617;281602;281486;M;TOTAL;ASAL_PER;447550.0;A
2018;ES617;281602;281486;F;TOTAL;ASAL_PER;408450.0;A
