D_ESTADO_DATO_0;D_TERRITORIO_0;D_RESITUR_0;D_TEMPORAL_0;INDICATOR;OBS_VALUE;FREQ
40123;2482;55549;2017;Viajeros;699.67973696;A
40123;2482;55549;2018;Viajeros;857.30512803;A
40123;2482;55549;2019;Viajeros;1220.961422479;A
40123;2482;55549;2020;Viajeros;394.080944014;A
40123;2482;55550;2014;Viajeros;776.24936087;A
40123;2482;55550;2015;Viajeros;858.1285095;A
40123;2482;55550;2016;Viajeros;957.05710441;A
40123;2482;55550;2017;Viajeros;966.19428046;A
40123;2482;55550;2018;Viajeros;1171.2113836;A
40123;2482;55550;2019;Viajeros;1255.452396606;A
40123;2482;55550;2020;Viajeros;368.241437394;A
40123;2482;55551;2014;Viajeros;1353.2931748;A
40123;2482;55551;2015;Viajeros;1477.6784626;A
40123;2482;55551;2016;Viajeros;1653.9489859;A
40123;2482;55551;2017;Viajeros;2300.5084619;A
