TERRITORIO;SECC_CNAE09;OBS_STATUS;TEMPORAL;MACROMAG_CPA;INDICATOR;OBS_VALUE;FREQ
ES611;273781;P;2019;273770;NR;290006.0;A
ES611;273781;P;2019;273771;NR;11420.0;A
ES611;273781;P;2019;273772;NR;10321.0;A
ES611;273781;P;2019;273773;NR;1099.0;A
ES611;273782;A;2008;273760;NR;521193.0;A
ES611;273782;A;2008;273761;NR;318093.0;A
ES611;273782;A;2008;273762;NR;203100.0;A
ES611;273782;A;2008;273765;NR;72.867920876;A
ES611;273782;A;2008;273768;NR;24804.0;A
ES611;273782;A;2008;273769;NR;308.0;A
ES611;273782;A;2008;273770;NR;177988.0;A
ES611;273782;A;2008;273771;NR;467.0;A
ES611;273782;A;2008;273772;NR;460.0;A
ES611;273782;A;2008;273773;NR;7.0;A
ES611;273782;A;2009;273760;NR;509080.0;A
ES611;273782;A;2009;273761;NR;276726.0;A
ES611;273782;A;2009;273762;NR;232354.0;A
ES611;273782;A;2009;273765;NR;75.674159055;A
ES611;273782;A;2009;273768;NR;27891.0;A
ES611;273782;A;2009;273769;NR;755.0;A
ES611;273782;A;2009;273770;NR;203708.0;A
ES611;273782;A;2009;273771;NR;480.0;A
ES611;273782;A;2009;273772;NR;473.0;A
ES611;273782;A;2009;273773;NR;7.0;A
ES611;273782;A;2010;273760;NR;655645.0;A
ES611;273782;A;2010;273761;NR;410350.0;A
ES611;273782;A;2010;273762;NR;245295.0;A
ES611;273782;A;2010;273765;NR;81.99780992;A
ES611;273782;A;2010;273768;NR;25579.0;A
ES611;273782;A;2010;273769;NR;800.0;A
ES611;273782;A;2010;273770;NR;218916.0;A
ES611;273782;A;2010;273771;NR;449.0;A
ES611;273782;A;2010;273772;NR;442.0;A
ES611;273782;A;2010;273773;NR;7.0;A
ES611;273782;A;2011;273760;NR;464417.0;A
ES611;273782;A;2011;273761;NR;210162.0;A
ES611;273782;A;2011;273762;NR;254255.0;A
ES611;273782;A;2011;273765;NR;78.126018937;A
ES611;273782;A;2011;273768;NR;21805.0;A
ES611;273782;A;2011;273769;NR;907.0;A
ES611;273782;A;2011;273770;NR;231543.0;A
ES611;273782;A;2011;273771;NR;452.0;A
ES611;273782;A;2011;273772;NR;444.0;A
ES611;273782;A;2011;273773;NR;8.0;A
ES611;273782;A;2012;273760;NR;944076.0;A
ES611;273782;A;2012;273761;NR;569405.0;A
ES611;273782;A;2012;273762;NR;374671.0;A
ES611;273782;A;2012;273765;NR;107.376784611;A
ES611;273782;A;2012;273768;NR;32470.0;A
ES611;273782;A;2012;273769;NR;4321.0;A
ES611;273782;A;2012;273770;NR;337880.0;A
ES611;273782;A;2012;273771;NR;621.0;A
ES611;273782;A;2012;273772;NR;615.0;A
ES611;273782;A;2012;273773;NR;6.0;A
ES611;273782;A;2013;273760;NR;1452813.0;A
ES611;273782;A;2013;273761;NR;1020340.0;A
ES611;273782;A;2013;273762;NR;432473.0;A
ES611;273782;A;2013;273765;NR;118.363254783;A
ES611;273782;A;2013;273768;NR;27214.0;A
ES611;273782;A;2013;273769;NR;6640.0;A
ES611;273782;A;2013;273770;NR;398619.0;A
