TEMPORAL;EDAD;TERRITORIO;LUG_NAC_PADRON;SEXO;INDICATOR;OBS_VALUE;FREQ
2021;TOTAL;2498;54155;M;HAB;210.0;A
2021;TOTAL;2498;54155;F;HAB;201.0;A
2021;TOTAL;2498;54344;_T;HAB;32.0;A
2021;TOTAL;2498;54344;M;HAB;9.0;A
2021;TOTAL;2498;54344;F;HAB;23.0;A
2021;TOTAL;2498;54452;_T;HAB;1.0;A
2021;TOTAL;2498;54452;M;HAB;1.0;A
2021;TOTAL;2498;54565;_T;HAB;14.0;A
2021;TOTAL;2498;54565;M;HAB;10.0;A
2021;TOTAL;2498;54565;F;HAB;4.0;A
2021;TOTAL;2498;54887;_T;HAB;5.0;A
2021;TOTAL;2498;54887;M;HAB;2.0;A
2021;TOTAL;2498;54887;F;HAB;3.0;A
2021;TOTAL;2499;54888;_T;HAB;330.0;A
2021;TOTAL;2499;54888;M;HAB;161.0;A
2021;TOTAL;2499;54888;F;HAB;169.0;A
2021;TOTAL;2499;53700;_T;HAB;299.0;A
2021;TOTAL;2499;53700;M;HAB;146.0;A
2021;TOTAL;2499;53700;F;HAB;153.0;A
2021;TOTAL;2499;54560;_T;HAB;282.0;A
2021;TOTAL;2499;54560;M;HAB;135.0;A
2021;TOTAL;2499;54560;F;HAB;147.0;A
2021;TOTAL;2499;53809;_T;HAB;9.0;A
2021;TOTAL;2499;53809;M;HAB;6.0;A
2021;TOTAL;2499;53809;F;HAB;3.0;A
2021;TOTAL;2499;53933;_T;HAB;1.0;A
2021;TOTAL;2499;53933;F;HAB;1.0;A
2021;TOTAL;2499;54155;_T;HAB;269.0;A
2021;TOTAL;2499;54155;M;HAB;128.0;A
2021;TOTAL;2499;54155;F;HAB;141.0;A
2021;TOTAL;2499;54344;_T;HAB;1.0;A
2021;TOTAL;2499;54344;M;HAB;1.0;A
2021;TOTAL;2499;54452;_T;HAB;2.0;A
2021;TOTAL;2499;54452;F;HAB;2.0;A
2021;TOTAL;2499;54565;_T;HAB;17.0;A
2021;TOTAL;2499;54565;M;HAB;11.0;A
2021;TOTAL;2499;54565;F;HAB;6.0;A
2021;TOTAL;2499;54887;_T;HAB;31.0;A
2021;TOTAL;2499;54887;M;HAB;15.0;A
2021;TOTAL;2499;54887;F;HAB;16.0;A
2021;TOTAL;2500;54888;_T;HAB;25890.0;A
2021;TOTAL;2500;54888;M;HAB;12769.0;A
2021;TOTAL;2500;54888;F;HAB;13121.0;A
2021;TOTAL;2500;53700;_T;HAB;21188.0;A
2021;TOTAL;2500;53700;M;HAB;10444.0;A
