TIME_PERIOD,REF_AREA,ESTADO_CIVIL,D_ESTADOCIVILC2_0,INDICATOR,OBS_VALUE,FREQ
2016,ES612,,,DIV,1.5766,A
2016,ES612,,,DIV,39.2618,A
2016,ES613,TOTAL,,DIV,1473.292,A
2016,ES613,TOTAL,,DIV,1402.7421,A
2016,ES613,TOTAL,,DIV,6.2196,A
2016,ES613,TOTAL,,DIV,64.3303,A
2016,ES613,,,DIV,1386.0833,A
2016,ES613,,,DIV,1350.1559,A
2016,ES613,,,DIV,3.9147,A
2016,ES613,,,DIV,32.0127,A
2016,ES613,,,DIV,6.5245,A
2016,ES613,,,DIV,5.2196,A
2016,ES613,,,DIV,1.3049,A
2016,ES613,,,DIV,80.6842,A
2016,ES613,,,DIV,47.3666,A
2016,ES613,,,DIV,2.3049,A
2016,ES613,,,DIV,31.0127,A
2016,ES614,TOTAL,,DIV,1937.4432,A
2016,ES614,TOTAL,,DIV,1827.9864,A
2016,ES614,TOTAL,,DIV,6.9152,A
2016,ES614,TOTAL,,DIV,102.5416,A
2016,ES614,,,DIV,1804.512,A
2016,ES614,,,DIV,1753.1056,A
2016,ES614,,,DIV,3.4576,A
2016,ES614,,,DIV,47.9488,A
2016,ES614,,,DIV,11.3728,A
2016,ES614,,,DIV,6.1864,A
2016,ES614,,,DIV,5.1864,A
2016,ES614,,,DIV,121.5584,A
2016,ES614,,,DIV,68.6944,A
2016,ES614,,,DIV,3.4576,A
2016,ES614,,,DIV,49.4064,A
2016,ES615,TOTAL,,DIV,1053.5608,A
2016,ES615,TOTAL,,DIV,1005.6016,A
2016,ES615,TOTAL,,DIV,1.7292,A
2016,ES615,TOTAL,,DIV,46.23,A
2016,ES615,,,DIV,1006.3308,A
2016,ES615,,,DIV,975.9344,A
2016,ES615,,,DIV,1.7292,A
2016,ES615,,,DIV,28.6672,A
2016,ES615,,,DIV,8.646,A
2016,ES615,,,DIV,5.1876,A
2016,ES615,,,DIV,3.4584,A
2016,ES615,,,DIV,38.584,A
2016,ES615,,,DIV,24.4796,A
2016,ES615,,,DIV,14.1044,A
2016,ES616,TOTAL,,DIV,1120.7404,A
2016,ES616,TOTAL,,DIV,1074.3912,A
2016,ES616,TOTAL,,DIV,4.4844,A
2016,ES616,TOTAL,,DIV,41.8648,A
2016,ES616,,,DIV,1053.9692,A
2016,ES616,,,DIV,1025.5576,A
2016,ES616,,,DIV,28.4116,A
2016,ES616,,,DIV,10.4636,A
2016,ES616,,,DIV,7.474,A
2016,ES616,,,DIV,1.4948,A
2016,ES616,,,DIV,1.4948,A
2016,ES616,,,DIV,56.3076,A
2016,ES616,,,DIV,41.3596,A
2016,ES616,,,DIV,2.9896,A
2016,ES616,,,DIV,11.9584,A
