TEMPORAL;SEXO;CNAE09;EDAD;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2009;_T;6981;Y45-64;ES61;OCUPADOS;82.8969625;M
2009;_T;6981;Y65-100;ES61;OCUPADOS;2.1143;M
2009;_T;6981;TOTAL;ES61;OCUPADOS;216.79272;M
2009;_T;7058;Y15-29;ES61;OCUPADOS;5.973535;M
2009;_T;7058;Y30-44;ES61;OCUPADOS;16.191645;M
2009;_T;7058;Y45-64;ES61;OCUPADOS;10.41893;M
2009;_T;7058;Y65-100;ES61;OCUPADOS;0.2994575;M
2009;_T;7058;TOTAL;ES61;OCUPADOS;32.8835675;M
2009;_T;277249;Y15-29;ES61;OCUPADOS;51.9181875;M
2009;_T;277249;Y30-44;ES61;OCUPADOS;120.271065;M
2009;_T;277249;Y45-64;ES61;OCUPADOS;71.6240625;M
2009;_T;277249;Y65-100;ES61;OCUPADOS;0.43212;M
2009;_T;277249;TOTAL;ES61;OCUPADOS;244.245435;M
2009;_T;7663;Y15-29;ES61;OCUPADOS;65.0482375;M
2009;_T;7663;Y30-44;ES61;OCUPADOS;134.997285;M
2009;_T;7663;Y45-64;ES61;OCUPADOS;79.96189;M
2009;_T;7663;Y65-100;ES61;OCUPADOS;0.0752025;M
2009;_T;7663;TOTAL;ES61;OCUPADOS;280.082615;M
2009;_T;7716;Y15-29;ES61;OCUPADOS;228.1947575;M
2009;_T;7716;Y30-44;ES61;OCUPADOS;405.148285;M
2009;_T;7716;Y45-64;ES61;OCUPADOS;244.3830925;M
2009;_T;7716;Y65-100;ES61;OCUPADOS;5.30233;M
2009;_T;7716;TOTAL;ES61;OCUPADOS;883.028465;M
2009;_T;7889;Y15-29;ES61;OCUPADOS;16.82921;M
2009;_T;7889;Y30-44;ES61;OCUPADOS;29.01914;M
2009;_T;7889;Y45-64;ES61;OCUPADOS;8.64038;M
2009;_T;7889;Y65-100;ES61;OCUPADOS;0.084795;M
2009;_T;7889;TOTAL;ES61;OCUPADOS;54.573525;M
2009;_T;277250;Y15-29;ES61;OCUPADOS;9.9503525;M
2009;_T;277250;Y30-44;ES61;OCUPADOS;25.3747325;M
2009;_T;277250;Y45-64;ES61;OCUPADOS;15.31461;M
2009;_T;277250;Y65-100;ES61;OCUPADOS;0.0521;M
2009;_T;277250;TOTAL;ES61;OCUPADOS;50.691795;M
2009;_T;277251;Y15-29;ES61;OCUPADOS;1.2234725;M
2009;_T;277251;Y30-44;ES61;OCUPADOS;6.2432275;M
2009;_T;277251;Y45-64;ES61;OCUPADOS;3.17926;M
2009;_T;277251;Y65-100;ES61;OCUPADOS;0.314065;M
2009;_T;277251;TOTAL;ES61;OCUPADOS;10.960025;M
2009;_T;8032;Y15-29;ES61;OCUPADOS;48.52604;M
2009;_T;8032;Y30-44;ES61;OCUPADOS;123.967835;M
2009;_T;8032;Y45-64;ES61;OCUPADOS;69.7309;M
2009;_T;8032;Y65-100;ES61;OCUPADOS;1.325725;M
2009;_T;8032;TOTAL;ES61;OCUPADOS;243.5505;M
2009;_T;8256;Y15-29;ES61;OCUPADOS;100.1056975;M
2009;_T;8256;Y30-44;ES61;OCUPADOS;283.9594;M
2009;_T;8256;Y45-64;ES61;OCUPADOS;288.9714025;M
2009;_T;8256;Y65-100;ES61;OCUPADOS;5.23848;M
2009;_T;8256;TOTAL;ES61;OCUPADOS;678.27498;M
2009;_T;8346;Y15-29;ES61;OCUPADOS;53.89072;M
2009;_T;8346;Y30-44;ES61;OCUPADOS;107.6677275;M
2009;_T;8346;Y45-64;ES61;OCUPADOS;71.7417575;M
2009;_T;8346;Y65-100;ES61;OCUPADOS;3.78403;M
2009;_T;8346;TOTAL;ES61;OCUPADOS;237.084235;M
2009;_T;6949;Y15-29;ES61;OCUPADOS;626.345635;M
2009;_T;6949;Y30-44;ES61;OCUPADOS;1339.936375;M
2009;_T;6949;Y45-64;ES61;OCUPADOS;946.8632475;M
2009;_T;6949;Y65-100;ES61;OCUPADOS;19.022605;M
2009;_T;6949;TOTAL;ES61;OCUPADOS;2932.1678625;M
2010;M;6981;Y15-29;ES61;OCUPADOS;31.0967525;M
2010;M;6981;Y30-44;ES61;OCUPADOS;77.51228;M
2010;M;6981;Y45-64;ES61;OCUPADOS;51.445815;M
2010;M;6981;Y65-100;ES61;OCUPADOS;2.3871375;M
2010;M;6981;TOTAL;ES61;OCUPADOS;162.441985;M
2010;M;7058;Y15-29;ES61;OCUPADOS;3.27611;M
2010;M;7058;Y30-44;ES61;OCUPADOS;12.1203225;M
