TEMPORAL;SEXO;EDAD;RELACTIVIDAD;NIVEL;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2007;_T;Y15-29;48934;46593;ES61;POP;46.1884975;M
2007;_T;Y15-29;48936;46593;ES61;POP;379.9013775;M
2007;_T;Y15-29;48937;46593;ES61;POP;33.7808475;M
2007;_T;Y15-29;48939;46593;ES61;POP;114.8791575;M
2007;_T;Y15-29;48940;46593;ES61;POP;494.780535;M
2007;_T;Y15-29;48946;46593;ES61;POP;447.8719975;M
2007;_T;Y25-34;48952;46593;ES61;POP;1356.2414625;M
2007;_T;Y25-34;48934;46593;ES61;POP;92.7934125;M
2007;_T;Y25-34;48936;46593;ES61;POP;976.56418;M
2007;_T;Y25-34;48937;46593;ES61;POP;10.0682875;M
2007;_T;Y25-34;48939;46593;ES61;POP;137.7906125;M
2007;_T;Y25-34;48940;46593;ES61;POP;1114.3547925;M
2007;_T;Y25-34;48946;46593;ES61;POP;241.88667;M
2007;_T;Y30-44;48952;46593;ES61;POP;1315.312165;M
2007;_T;Y30-44;48934;46593;ES61;POP;66.384795;M
2007;_T;Y30-44;48936;46593;ES61;POP;920.3940925;M
2007;_T;Y30-44;48937;46593;ES61;POP;3.2657175;M
2007;_T;Y30-44;48939;46593;ES61;POP;108.2182125;M
2007;_T;Y30-44;48940;46593;ES61;POP;1028.612305;M
2007;_T;Y30-44;48946;46593;ES61;POP;286.69986;M
2007;_T;Y45-54;48952;46593;ES61;POP;1037.163285;M
2007;_T;Y45-54;48934;46593;ES61;POP;36.1756975;M
2007;_T;Y45-54;48936;46593;ES61;POP;662.3353725;M
2007;_T;Y45-54;48937;46593;ES61;POP;2.6768325;M
2007;_T;Y45-54;48939;46593;ES61;POP;77.7407475;M
2007;_T;Y45-54;48940;46593;ES61;POP;740.07612;M
2007;_T;Y45-54;48946;46593;ES61;POP;297.087165;M
2007;_T;Y45-64;48952;46593;ES61;POP;790.91165;M
2007;_T;Y45-64;48934;46593;ES61;POP;9.3210175;M
2007;_T;Y45-64;48936;46593;ES61;POP;282.475255;M
2007;_T;Y45-64;48937;46593;ES61;POP;0.66578;M
2007;_T;Y45-64;48939;46593;ES61;POP;34.5143175;M
2007;_T;Y45-64;48940;46593;ES61;POP;316.9895725;M
2007;_T;Y45-64;48946;46593;ES61;POP;473.9220775;M
2007;_T;Y65-100;48952;46593;ES61;POP;1140.03704;M
2007;_T;Y65-100;48934;46593;ES61;POP;0.418355;M
2007;_T;Y65-100;48936;46593;ES61;POP;16.9513175;M
2007;_T;Y65-100;48939;46593;ES61;POP;0.3958725;M
2007;_T;Y65-100;48940;46593;ES61;POP;17.34719;M
2007;_T;Y65-100;48946;46593;ES61;POP;1122.68985;M
2007;_T;TOTAL;48952;46593;ES61;POP;6582.318135;M
2007;_T;TOTAL;48934;46593;ES61;POP;251.281775;M
