TEMPORAL;CNO11;SEXO;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2021;6333;_T;ES61;ASALARIADOS;282.7914625;M
2021;6375;M;ES61;ASALARIADOS;91.6527975;M
2021;6375;F;ES61;ASALARIADOS;155.38672;M
2021;6375;_T;ES61;ASALARIADOS;247.0395175;M
2021;6463;M;ES61;ASALARIADOS;224.994945;M
2021;6463;F;ES61;ASALARIADOS;340.33022;M
2021;6463;_T;ES61;ASALARIADOS;565.325165;M
2021;6489;M;ES61;ASALARIADOS;38.0214925;M
2021;6489;F;ES61;ASALARIADOS;2.4640775;M
2021;6489;_T;ES61;ASALARIADOS;40.48557;M
2021;6601;M;ES61;ASALARIADOS;254.24453;M
2021;6601;F;ES61;ASALARIADOS;23.1959375;M
2021;6601;_T;ES61;ASALARIADOS;277.4404675;M
2021;6667;M;ES61;ASALARIADOS;167.99723;M
2021;6667;F;ES61;ASALARIADOS;16.1077375;M
2021;6667;_T;ES61;ASALARIADOS;184.1049675;M
2021;6726;M;ES61;ASALARIADOS;241.1565475;M
2021;6726;F;ES61;ASALARIADOS;251.8492425;M
2021;6726;_T;ES61;ASALARIADOS;493.00579;M
2021;5989;M;ES61;ASALARIADOS;23.215535;M
2021;5989;F;ES61;ASALARIADOS;2.6036575;M
2021;5989;_T;ES61;ASALARIADOS;25.8191925;M
2021;6727;M;ES61;ASALARIADOS;1431.4477475;M
2021;6727;F;ES61;ASALARIADOS;1187.79681;M
2021;6727;_T;ES61;ASALARIADOS;2619.2445575;M
2005;6727;M;ES61;TASA_SALA;79.40674876580881;M
2005;6727;F;ES61;TASA_SALA;84.6519872296358;M
2005;6727;_T;ES61;TASA_SALA;81.33700218307146;M
2006;6727;M;ES61;TASA_SALA;79.26739935015826;M
2006;6727;F;ES61;TASA_SALA;86.17854118927774;M
2006;6727;_T;ES61;TASA_SALA;81.86570579957998;M
2007;6727;M;ES61;TASA_SALA;79.86938202925879;M
2007;6727;F;ES61;TASA_SALA;86.12101056938437;M
